year,NAME,NAME_CLEAN,FIRMFIND,Location ,Incentive_Type ,Term ,Projected_Jobs,Projected_New_State_Tax_Revenue_Over_Term ,Projected_Capital_Investment,Projected_New_State_Wages ,Maximum_Cap_Incentive
2009,Nelson Laboratories,Nelson Laboratories,,Taylorsville,EDTIF,10.5,393,"$9,982,877 ","$13,745,000 ","$157,538,750 ","$1,996,600 "
2009,Sun Products Corporation,Sun Products Corporation,,Salt Lake City,EDTIF/IAF,10,80,"$34,022,025 ","$14,600,000 ","$276,114,553 ","$2,513,600 "
2009,Keystone Aviation HondaJet**,Keystone Aviation HondaJet,,Salt Lake City,EDTIF,10,72,"$8,701,701 ","$4,000,000 ","$18,830,731 ","$1,740,300 "
2009,ATK Aerospace Structures**,ATK,,Clearfield,EDTIF,20,848,"$109,108,187 ","$250,000,000 ","$1,664,771,288 ","$32,732,500 "
2009,Dynamic Confections**,Dynamic Confections,KENCRAFT,Draper,EDTIF,10.5,110,"$4,119,277 ","$4,000,000 ","$70,198,304 ","$823,856 "
2009,Great Salt Lake Minerals**,Great Salt Lake Minerals,COMPASS MINERALS,Ogden,EDTIF,10.5,50,"$1,024,253 ","$42,000,000 ","$27,313,426 ","$153,638 "
2009,Verisys Corporation**,Verisys Corporation,,South Jordan,EDTIF,7,100,"$4,177,496 ","$10,000,000 ","$18,719,026 ","$835,000 "
2009,eBay (Customer Service)* (cy2012),eBay,,Draper,EDTIF,10,200,"$6,879,345 ","$40,500,000 ","$70,106,217 ","$1,719,800 "
2010,"Mozy, Inc.","Mozy, Inc.",,Pleasant Grove,EDTIF,10,91,"$2,716,229 ","$2,200,000 ","$45,401,339 ","$543,200 "
2010,Edwards Lifesciences,Edwards Lifesciences,,Draper,EDTIF/IAF,15,"1,300","$50,943,077 ","$14,500,000 ","$776,525,500 ","$10,381,000 "
2010,Goldman Sachs,Goldman Sachs,,Salt Lake City,EDTIF,20,690,"$157,611,363 ","$51,000,000 ","$1,713,742,314 ","$47,283,409 "
2010,Haemonetics,Haemonetics,,Draper,EDTIF,6,220,"$1,699,299 ","$17,000,000 ","$26,147,393 ","$169,900 "
2010,eBay (Customer Service) * (cy2012),eBay,,Draper,EDTIF,10,207,"$8,512,554 ","$81,000,000 ","$61,375,816 ","$2,128,139 "
2010,Fairchild Semiconductor,Fairchild Semiconductor,,West Jordan,EDTIF/IAF,4,538,"$5,374,453 ","$49,500,000 ","$122,053,164 ","$86,700 "
2010,Merit Medical Systems,Merit Medical Systems,,South & West Jordan,EDTIF,10,392,"$25,667,302 ","$11,000,000 ","$95,729,691 ","$4,360,000 "
2010,MediConnect Global Inc.,MediConnect Global Inc.,VERSCEND,Ephraim City,EDTIF,10,306,"$7,019,316 ","$470,000 ","$45,500,000 ","$1,754,800 "
2010,Lofthouse,Lofthouse,"Treehouse (notfound, but owns them)",Ogden,EDTIF,5,115,"$692,171 ","$22,500,000 ","$15,130,735 ","$138,434 "
2010,Janicki Industries**,Janicki Industries,,Layton,EDTIF,10,50,"$1,581,374 ","$19,500,000 ","$20,532,500 ","$316,275 "
2010,Royal Bank of Scotland* (cy2013),Royal Bank of Scotland,RBS,Taylorsville,EDTIF,15,260,"$34,429,044 ","$6,270,000 ","$389,488,515 ","$8,607,261 "
2011,Adobe Systems Inc.,Adobe Systems Inc.,,Holladay,EDTIF,20,927,"$134,130,418 ","$298,000,000 ","$1,631,697,764 ","$40,239,126 "
2011,Black Diamond Equipment,Black Diamond Equipment,,Lehi,EDTIF,10,55,"$1,977,659 ", $-   ,"$32,765,324 ","$395,500 "
2011,ATK Aerospace Systems* (cy2014),ATK,,Clearfield,EDTIF,20,802,"$62,993,537 ","$390,000,000 ","$939,920,000 ","$18,898,061 "
2011,Litehouse,Litehouse,,Hurricane,EDTIF,10,162,"$2,512,353 ","$11,200,000 ","$37,624,584 ","$502,400 "
2011,Overstock,Overstock,,Provo,EDTIF,10,150,"$4,494,496 ", $-   ,"$95,480,000 ","$1,123,600 "
2011,Czarnowski,Czarnowski,,St. George,EDTIF/IAF,7,50,"$915,344 ","$7,000,000 ","$18,459,664 ","$137,300 "
2011,CSN Stores,CSN Stores,WAYFAIR,Ogden,EDTIF,10,868,"$8,472,757 ","$1,500,000 ","$188,989,700 ","$548,500 "
2011,"JBS USA Holdings, Inc.*","JBS USA Holdings, Inc.","JBS CARRIERS, INC",Hyrum,EDTIF,10,420,"$8,797,836 ","$30,000,000 ","$115,569,462 ","$1,759,500 "
2011,Liberty Safe and Security Products,Liberty Safe and Security Products,,Payson,EDTIF,7,50,"$2,281,968 ","$8,000,000 ","$10,251,032 ","$342,000 "
2011,Air Products,Air Products,AIR PRODUCTS AND CHEMICALS INC,Tooele,EDTIF,5.5,57,"$1,042,683 ","$40,000,000 ","$19,344,879 ","$208,500 "
2011,ITT Corporation,ITT Corporation,,West Valley/Jordan,EDTIF,15,"2,707","$112,000,000 ","$120,000,000 ","$1,300,000,000 ","$33,656,000 "
2011,IM Flash Technologies Inc.,IM Flash Technologies Inc.,,Lehi,EDTIF,15,200,"$7,068,833 ","$1,500,000,000 ","$167,686,106 ","$45,900,000 "
2011,EMC Corporation* (cy2012),EMC Corporation,,"W. Valley, Draper, American Fork",EDTIF,10,500,"$12,476,673 ","$7,600,000 ","$313,600,626 ","$3,513,700 "
2012,Morgan Stanley Smith Barney**,Morgan Stanley Smith Barney,,South Jordan,EDTIF,5,80,"$446,900 ","$2,800,000 ","$11,478,802 ","$89,000 "
2012,eBay (Customer Service) *,eBay,,Draper,EDTIF,20,"2,200","$127,186,975 ","$80,000,000 ","$2,737,441,997 ","$38,156,092 "
2012,Fiberspar,Fiberspar,NATIONAL OILWELL VARCO LP,Salt Lake/Tooele,EDTIF,10,276,"$7,374,613 ","$23,600,000 ","$80,452,430 ","$1,474,900 "
2012,SAIC**,SAIC,SCIENCE APPLICATIONS INT,Salt Lake/Utah/Davis,EDTIF,10,294,"$8,769,153 ","$10,000,000 ","$127,686,410 ","$2,192,288 "
2012,Home Depot,Home Depot,,Ogden,EDTIF,10,691,"$2,609,334 ","$12,000,000 ","$67,365,753 ","$521,867 "
2012,Lifetime Products,Lifetime Products,,Clearfield,EDTIF,20,482,"$12,774,362 ","$46,000,000 ","$221,136,866 ","$3,193,591 "
2012,Incomm,Incomm,,Salt Lake County,EDTIF,5,101,"$1,703,878 ", $-   ,"$21,771,000 ","$340,775 "
2012,Pepperidge Farm,Pepperidge Farm,,Richmond,EDTIF,10,54,"$2,115,977 ","$45,000,000 ","$11,667,527 ","$475,032 "
2012,L-3,L-3,,Salt Lake County,EDTIF,10,500,"$22,106,729 ","$6,100,000 ","$389,782,590 ","$5,526,682 "
2012,Hexcel Corporation,Hexcel Corporation,,Salt Lake County,EDTIF,10,616,"$31,071,845 ","$650,000,000 ","$348,019,091 ","$7,767,961 "
2012,Futura,Futura,,Davis County,EDTIF,8,143,"$11,982,206 ","$23,155,000 ","$57,886,740 ","$1,694,786 "
2012,Workday* (cy2013),Workday,,Salt Lake,EDTIF,10,250,"$13,815,759 ", $-   ,"$156,978,924 ","$2,763,151 "
2012,Family Dollar,Family Dollar,,St. George,EDTIF,20,450,"$15,058,314 ","$90,000,000 ","$297,464,933 ","$3,764,578 "
2012,Schiff Nutrition,Schiff Nutrition,bought by reckitt Benckiser in 2012,Salt Lake,EDTIF/Training,6,400,"$1,540,933 ","$1,500,000 ","$17,659,408 ","$308,186 "
2012,Xactware,Xactware,,Provo,EDTIF,20,859,"$129,051,958 ","$130,000,000 ","$756,844,710 ","$32,262,990 "
2012,FLSmidth,FLSmidth,,Midvale,EDTIF,10,124,"$11,734,578 ","$16,000,000 ","$86,817,275 ","$2,933,645 "
2012,Peterbilt,Peterbilt,,Salt Lake,EDTIF,5,145,"$2,590,691 ","$3,475,000 ","$43,606,015 ","$518,138 "
2012,EMC Corporation*,EMC Corporation,,Salt Lake,EDTIF,12,750,"$20,695,868 ","$4,000,000 ","$475,109,938 ","$5,173,967 "
2012,Rock West Composites**,Rock West Composites,,West Valley,EDTIF,5,93,"$875,711 ","$700,000 ","$15,605,000 ","$175,142 "
2013,Xi3,Xi3,,Salt Lake,EDTIF,5,250,"$98,005,932 ","$32,244,000 ","$169,733,873 ","$2,045,825 "
2013,Vexxel,Vexxel,LUXFER (bought in 2014),,EDTIF,5,101,"$1,687,885 ","$4,000,000 ","$21,082,477 ","$377,577 "
2013,"BioFire Diagnostics, Inc","BioFire Diagnostics, Inc",,Salt Lake,EDTIF,20,657,"$97,747,955 ","$50,000,000 ","$718,135,774 ","$24,436,989 "
2013,Boeing,Boeing,,Salt Lake,EDTIF/Training,20,104,"$5,505,016 ","$219,000,000 ","$146,800,428 ","$1,376,254 "
2013,"ENVE Composites, Inc.","ENVE Composites, Inc.",EDGE COMPOSITES,Weber,EDTIF/Training,7,342,"$5,345,694 ","$20,000,000 ","$63,315,427 ","$1,336,424 "
2013,"Orange Soda, Inc.","Orange Soda, Inc.",ORANGESODA.COM; DELUXE CORPORATION,,EDTIF/Training,10,100,"$2,679,244 ","$5,000,000 ","$44,500,541 ","$535,849 "
2013,GAF,GAF,STANDARD INDUSTRIES,Cedar City,EDTIF,15,50,"$3,546,847 ","$40,000,000 ","$38,272,300 ","$886,712 "
2013,Qualtrics,Qualtrics,,Provo,EDTIF,7,"1,080","$43,123,085 ","$2,400,000 ","$295,308,110 ","$10,780,771 "
2013,Royal Bank of Scotland,Royal Bank of Scotland,,Taylorsville,EDTIF,15,310,"$21,100,497 ","$2,642,908 ","$286,603,064 ","$5,275,124 "
2013,Workday,Workday,,Salt Lake,EDTIF,15,500,"$54,072,074 ","$20,000,000 ","$719,396,231 ","$8,370,052 "
2013,"Orbit Irrigation Products, Inc.","Orbit Irrigation Products, Inc.",,North Salt Lake,EDTIF/Training,15,60,"$22,251,565 ","$36,990,000 ","$68,391,417 ","$2,408,896 "
2013,"Instructure, Inc.","Instructure, Inc.",,Cottonwood Heights,EDTIF,7,655,"$9,464,847 ","$2,100,000 ","$238,429,143 ","$1,892,969 "
2013,DoTerra,DoTerra,,Draper,EDTIF,10,330,"$83,279,072 ","$60,000,000 ","$136,436,894 ","$16,655,814 "
2013,1-800 Contacts,1-800 Contacts,,Draper,EDTIF,15,654,"$35,205,239 ","$59,000,000 ","$455,652,989 ","$8,801,310 "
2013,Capital Access Networks,Capital Access Networks,,Salt Lake City,EDTIF,7,108,"$8,113,435 ","$1,915,000 ","$38,460,168 ","$2,028,359 "
